AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
57,44,Dayita Grewal,56,1,A57
58,45,Tristan Narayan,64,1,A58
1002,46,Victor Dutt,56,1,A1002
1006,46,Mekhala Nayar,43,1,A1006
59,46,Ubika Nagarajan,61,1,A59
60,47,Gaurangi Deshpande,39,1,A60
61,47,Peter Srivastava,51,1,A61
62,48,Jack Kumer,48,1,A62
1010,48,Turvi Dalal,45,2,A1010
63,49,Anay Parsa,63,1,A63
64,49,Udyati Subramanian,53,1,A64
65,50,Aarush Dash,35,1,A65
1002,50,Victor Dutt,48,1,A1002
66,51,Jagat Dutta,26,2,A66
67,52,Gautami Pant,20,1,A67
68,52,Niharika Chana,35,1,A68
69,53,Bhavika Gola,22,1,A69
70,54,Ria Krish,23,2,A70
71,54,Yatin Nadig,37,1,A71
72,54,Anvi Chokshi,62,1,A72
73,55,Gauri Toor,52,1,A73
74,55,Radhika Sarma,55,1,A74
75,55,Riya Sule,20,2,A75
76,56,Vanya Halder,62,1,A76
77,57,Alexander Pandey,28,1,A77
78,57,Kashvi Kale,27,1,A78
79,57,Hritik Dara,64,1,A79
80,58,Avi Merchant,35,1,A80
81,59,Aditya Deol,40,1,A81
82,59,Ansh Rastogi,19,1,A82
83,59,Hitesh Muni,26,1,A83
84,60,Wridesh Hayer,18,1,A84
85,61,Faras Walla,28,1,A85
86,62,Ria Chad,40,1,A86
87,63,Chatura Bansal,38,1,A87
88,64,Bachittar Vig,19,1,A88
89,65,Ishani Chaudhry,40,1,A89
90,65,Neelima Gopal,60,1,A90
1006,66,Mekhala Nayar,51,1,A1006
91,66,Andrew Bakshi,37,1,A91
92,66,Isaac Atwal,19,1,A92
93,67,Ekavir Narayan,50,1,A93
94,67,Ishwar Mandal,54,1,A94
1002,68,Victor Dutt,26,1,A1002
95,68,Eta Kara,61,1,A95
1010,69,Turvi Dalal,46,1,A1010
96,69,Divya Bhatti,41,1,A96
97,70,Raagini Nagarajan,24,1,A97
98,70,Nitesh Mittal,42,2,A98
99,70,Aishani Ramakrishnan,29,1,A99
100,71,Robert Balakrishnan,55,1,A100
101,71,Ronith Rege,52,1,A101
102,72,Bhavna Ramanathan,24,1,A102
103,72,Arin Shah,32,1,A103
104,72,Bhavya Basak,61,1,A104
105,73,Bina Hora,60,1,A105
106,73,Ekapad Krishna,35,1,A106
107,74,Luke Borra,37,1,A107
108,74,Neelima Pandit,49,1,A108
1005,74,Darpan Chaudhari,35,1,A1005
109,75,Henry Keer,44,1,A109
110,76,Damyanti Barad,39,1,A110
111,76,Hemal Deep,55,1,A111
112,77,Siddharth Prabhu,28,1,A112
113,78,Akshay Joshi,55,1,A113
114,78,Aarush Thaker,50,1,A114
115,78,Fariq Date,29,1,A115
116,79,Tanish Rout,39,1,A116
117,80,Dayamai Prabhu,61,1,A117
118,80,Geetika Tripathi,30,2,A118
119,80,Udant Swamy,25,1,A119
120,81,Mugdha Vaidya,27,1,A120
121,81,Hamsini Divan,25,1,A121
122,82,Mitesh Datta,56,1,A122
123,82,Watika Dugar,36,1,A123
1002,82,Victor Dutt,59,1,A1002
124,83,Ishita Kala,64,1,A124
125,83,Vedant Tank,31,1,A125
1001,83,Farhan Memon,42,1,A1001
126,84,Gaurav Jaggi,33,1,A126
127,84,Harshil Varghese,51,1,A127
128,85,Wahab Kunda,27,1,A128
129,86,Frederick Dada,31,2,A129
130,86,Samesh Ben,25,1,A130
1002,86,Victor Dutt,64,1,A1002
1002,87,Victor Dutt,26,1,A1002
131,87,Vamakshi Shan,47,1,A131
132,87,Harrison Krish,38,1,A132
133,88,Kashish Chaudhuri,31,1,A133
1010,88,Turvi Dalal,62,1,A1010
1007,88,Max Nadig,62,2,A1007
134,89,Amaira Zachariah,63,1,A134
135,89,Baghyawati Rao,63,1,A135
1010,89,Turvi Dalal,64,1,A1010
136,90,Oviya Bansal,19,1,A136
137,90,Mahika Dhingra,22,1,A137
138,91,Gavin Batra,47,1,A138
139,92,Jeremiah Bhatt,52,1,A139
140,92,Eshana Gandhi,27,1,A140
141,92,Yauvani Pathak,18,2,A141
142,93,Urvi Radhakrishnan,26,1,A142
143,94,Xavier Yadav,24,1,A143
1007,95,Max Nadig,32,1,A1007
144,96,Ishita Kanda,59,1,A144
1009,96,Unni Batta,56,1,A1009
1007,97,Max Nadig,62,1,A1007
1007,97,Max Nadig,56,1,A1007
145,98,Zansi Shetty,32,1,A145
146,99,Lavanya Dutta,61,1,A146
1002,99,Victor Dutt,40,1,A1002
147,99,Faraj Bains,24,1,A147
1009,100,Unni Batta,42,2,A1009
148,101,Mekhala Sha,27,1,A148
149,101,Zayan Kalita,61,1,A149
1003,102,Hitesh Tara,63,1,A1003
150,102,Widisha Barman,38,1,A150
151,102,Zayyan Barad,41,1,A151
152,103,Saksham Brahmbhatt,40,1,A152
153,104,Falak Bala,29,1,A153
154,104,Azad Kulkarni,50,1,A154
155,104,Bakhshi Madan,48,1,A155
156,105,Bhavika Murthy,32,1,A156
157,105,Darika Bala,63,1,A157
158,105,Bhavini Sankaran,24,1,A158
159,106,Faris Gole,53,2,A159
1001,106,Farhan Memon,28,1,A1001
160,107,Jagat Rai,28,1,A160
1008,107,Laksh Tella,45,1,A1008
161,107,Baljiwan Grewal,60,1,A161
162,108,Omya Desai,37,1,A162
1006,108,Mekhala Nayar,18,1,A1006
163,108,Gaurang Rastogi,54,1,A163
164,109,Tanveer Deol,62,1,A164
165,109,Sanya Kumer,30,1,A165
1003,110,Hitesh Tara,21,1,A1003
166,110,Raghav Kibe,49,1,A166
167,111,Ijaya Sarma,23,1,A167
168,112,Harish Chacko,55,1,A168
169,113,Jalsa Bora,36,1,A169
170,114,Gayathri Mani,36,1,A170
171,114,Vihaan Shan,21,1,A171
172,114,Onkar Dugar,28,2,A172
1006,115,Mekhala Nayar,22,1,A1006
173,116,Patrick Shanker,32,1,A173
174,117,Finn Bawa,53,1,A174
175,117,Udant Balakrishnan,25,1,A175
176,118,Devika Minhas,59,1,A176
177,119,Isha Narain,22,1,A177
178,119,Amrita Menon,29,1,A178
179,119,Hritik Dube,45,1,A179
180,120,Kabir Gara,38,1,A180
181,121,Aadhya Basak,40,1,A181
1004,121,Harrison Mukherjee,25,1,A1004
182,121,Riya Halder,36,2,A182
183,122,Diya Dey,30,1,A183
184,122,Yatan Chakraborty,59,1,A184
185,122,Bishakha Gokhale,35,1,A185
186,123,Sai Korpal,26,1,A186
187,123,Akshay Bobal,56,2,A187
188,124,Bishakha Apte,61,1,A188
189,124,Yashoda Vasa,51,1,A189
190,125,Chakradhar Dey,40,1,A190
1008,125,Laksh Tella,65,1,A1008
191,125,Hamsini Aurora,61,1,A191
192,126,Raagini Karpe,34,1,A192
193,126,Yagnesh Varughese,52,1,A193
194,126,Karan Basak,23,1,A194
195,127,Saksham Banik,38,1,A195
196,128,Yutika Sura,37,1,A196
1009,128,Unni Batta,27,1,A1009
197,129,Falan Dyal,28,1,A197
198,129,Hemang Purohit,24,1,A198
199,129,Ansh Bahri,57,1,A199
200,130,Faris Kapur,33,2,A200
201,130,Pahal Subramanian,59,1,A201
202,130,Lajita Kadakia,32,1,A202
1007,131,Max Nadig,63,1,A1007
203,132,Chaitaly Sidhu,44,1,A203
204,133,Omisha Sankar,28,1,A204
205,133,Laban Krish,63,1,A205
206,134,Luke Kaur,29,1,A206
207,134,Warinder Chakrabarti,31,1,A207
208,134,Devika Chaudhry,62,1,A208
209,135,Tristan Bahl,46,1,A209
210,135,Reva Aggarwal,27,1,A210
211,135,Qasim Kothari,34,1,A211
212,136,Gavin Parmer,62,1,A212
213,136,Qushi Arora,21,1,A213
214,136,Theodore Dixit,51,1,A214
215,137,Urvashi Raj,46,1,A215
216,137,Jasmit Varghese,19,1,A216
217,137,Abha Sodhi,44,1,A217
218,138,Nakul Ravi,50,1,A218
219,138,Azad Sehgal,23,1,A219
220,138,Gautami Khosla,34,1,A220
221,139,Arunima Iyer,63,1,A221
222,139,Jeevika Dave,25,1,A222
1009,139,Unni Batta,38,1,A1009
223,140,Darika Wason,62,1,A223
1005,141,Darpan Chaudhari,21,1,A1005
224,142,Balvan Garg,24,1,A224
225,142,Oviya Bhardwaj,50,1,A225
226,142,Abhimanyu Dey,27,1,A226
227,143,Kiaan Bhakta,54,1,A227
228,144,Henry Sinha,57,1,A228
229,144,Harrison Sharaf,28,1,A229
230,145,Ucchal Bath,45,1,A230
231,145,Indira Mody,35,1,A231
232,146,Bachittar Rana,35,1,A232
233,147,Ekapad Oza,47,1,A233
234,147,Ayaan Sandhu,40,1,A234
235,147,Yashawini Vora,19,1,A235
236,148,Umang Saha,19,1,A236
237,148,Upkaar Subramaniam,47,1,A237
238,148,Mohammed Nath,35,1,A238
1001,149,Farhan Memon,29,1,A1001
239,149,Wishi Datta,57,1,A239
240,150,Parth Dewan,41,1,A240
241,151,Gopal Deo,28,1,A241
242,151,Varenya Saha,56,1,A242
1002,152,Victor Dutt,19,1,A1002
243,152,Kashish Tella,18,1,A243
244,152,Vinaya Bhakta,18,2,A244
245,153,Damini Chanda,19,1,A245
246,153,Owen Deep,42,1,A246
247,153,Jagvi Sha,35,1,A247
248,154,Theodore Cherian,49,1,A248
249,154,Frado Pal,63,1,A249
250,155,Hemal Prakash,18,2,A250
251,155,Suhani Sampath,34,1,A251
252,156,Bachittar Sinha,26,1,A252
253,156,Januja Hans,36,1,A253
254,157,Vihaan Chaudhuri,18,2,A254
255,157,Abdul Nayak,51,1,A255
256,157,Ryan Kaul,49,1,A256
257,158,Hiral Gopal,37,1,A257
258,158,Ishwar Sachdeva,49,1,A258
1003,159,Hitesh Tara,61,1,A1003
259,159,Advay Ramanathan,29,1,A259
260,160,Ijaya Ganesan,35,1,A260
261,161,Wridesh Dar,62,1,A261
262,161,Vivaan Divan,49,1,A262
263,162,Amaira Date,41,1,A263
264,163,Veer Suresh,21,1,A264
1009,163,Unni Batta,22,1,A1009
265,164,Balendra Anand,63,1,A265
266,164,Rayaan Sehgal,57,1,A266
267,165,Zinal Sheth,60,1,A267
268,165,Jonathan Badal,27,1,A268
269,165,Harita Patla,47,1,A269
270,166,Yashawini Kar,45,1,A270
271,166,Chatura Kapur,48,2,A271
272,166,Qushi Seshadri,60,1,A272
273,167,Unnati Nagarajan,63,1,A273
274,168,Wyatt Sahni,29,1,A274
275,168,Laksh Merchant,58,1,A275
276,168,Urmi Khosla,30,1,A276
1005,169,Darpan Chaudhari,45,2,A1005
1009,169,Unni Batta,64,1,A1009
277,169,Gopal Tara,64,2,A277
1001,170,Farhan Memon,55,1,A1001
278,171,Onkar Babu,60,1,A278
1005,172,Darpan Chaudhari,54,1,A1005
279,172,Matthew Tripathi,45,1,A279
280,172,Warjas Chad,30,1,A280
281,173,Januja Rajagopal,55,1,A281
1005,173,Darpan Chaudhari,34,1,A1005
282,174,Meghana Swaminathan,24,1,A282
283,174,Anthony Ravi,45,1,A283
284,174,Harita Dixit,63,1,A284
285,175,Xiti Ram,26,1,A285
286,176,Keya Sheth,47,1,A286
287,176,Aishani Tella,21,2,A287
288,177,Wakeeta Manne,63,1,A288
289,178,Ekanta Upadhyay,34,1,A289
1008,179,Laksh Tella,31,1,A1008
290,179,Yashica Sarraf,20,1,A290
291,179,Advika Dhillon,33,1,A291
292,180,Chatresh Kade,20,1,A292
293,180,Krish Pandit,34,1,A293
294,181,Nirja Sheth,30,1,A294
295,181,Aayush Balakrishnan,47,1,A295
296,182,Aarna Subramanian,21,1,A296
297,182,Bahadurjit Brar,24,2,A297
298,182,Wishi Krishnamurthy,18,1,A298
299,183,Rachit Kapadia,64,1,A299
300,183,Vidhi Mandal,55,1,A300
301,184,Upadhriti Kala,32,1,A301
302,184,Yashoda Sanghvi,51,1,A302
1007,184,Max Nadig,64,1,A1007
303,185,Nisha Nadkarni,58,1,A303
304,186,Eesha Toor,35,1,A304
1005,186,Darpan Chaudhari,28,1,A1005
305,187,Gopal Arora,19,1,A305
306,187,Madhav Krishna,40,1,A306
307,188,Ranbir Ganesh,65,1,A307
308,188,Balvan Tailor,53,1,A308
309,189,Unnati Radhakrishnan,58,1,A309
310,189,Hritik Dara,49,1,A310
311,190,Ayaan Borah,52,1,A311
312,190,Aadi Bassi,21,2,A312
1005,190,Darpan Chaudhari,58,1,A1005
313,191,Jatin Gour,43,1,A313
314,191,Ayush Taneja,47,1,A314
315,192,Mitesh Muni,41,1,A315
316,192,Benjamin Parmar,40,1,A316
317,193,Pavani Borde,43,1,A317
318,193,Ryan Bera,30,1,A318
319,193,Nilima Dora,63,1,A319
320,194,Xiti Bahri,46,2,A320
321,194,Sathvik Hari,47,1,A321
322,195,Naveen Madan,22,1,A322
323,196,Jack Vig,32,2,A323
324,197,Nidra Shankar,42,1,A324
325,197,Qarin Dalal,37,1,A325
326,197,Amruta Modi,26,2,A326
327,198,Teerth Dhar,43,2,A327
328,199,Udant Amble,58,1,A328
329,199,Chasmum Bains,38,1,A329
330,200,Rachana Rao,54,1,A330
331,201,Wazir Baral,36,1,A331
332,201,Widisha Chadha,60,1,A332
1010,202,Turvi Dalal,21,1,A1010
333,202,Mohini Talwar,26,1,A333
334,202,Zilmil Thakur,55,1,A334
335,203,Nitara Mandal,46,2,A335
336,204,Michael Bawa,61,1,A336
337,204,Gauri Chandra,65,1,A337
338,205,Adweta Bajwa,33,2,A338
1008,205,Laksh Tella,59,1,A1008
339,206,Vrishti Bail,34,1,A339
340,206,Vedant Puri,26,1,A340
341,207,Xalak Samra,20,1,A341
342,207,Jeevika Ranganathan,43,1,A342
343,208,Vrishti Sood,50,1,A343
344,209,Aarush Bawa,46,1,A344
345,209,Christopher Vig,44,1,A345
346,209,Yagnesh Kara,31,1,A346
347,210,Wahab Batta,30,1,A347
348,210,Anika Bobal,37,1,A348
349,211,Dayamai Goswami,51,1,A349
1002,212,Victor Dutt,49,2,A1002
1007,212,Max Nadig,28,1,A1007
350,213,Rachit Warrior,61,1,A350
351,214,Sai Chanda,21,1,A351
352,214,Wahab Menon,50,1,A352
353,214,Ucchal Dora,54,1,A353
354,215,Kiaan Oommen,57,1,A354
355,216,Champak Kothari,48,1,A355
356,216,Jai Sachdev,29,1,A356
357,217,Nitara Loke,63,1,A357
358,218,Yachana Basu,47,1,A358
359,219,Triya Sodhi,47,1,A359
1003,220,Hitesh Tara,63,1,A1003
360,220,Veer Ganguly,61,1,A360
361,220,Siddharth Kulkarni,36,1,A361
362,221,Gaurav Sundaram,49,1,A362
363,222,Nidhi Shankar,40,1,A363
364,222,Falguni Mitter,48,1,A364
365,222,Bhavani Amble,38,1,A365
366,223,Robert Behl,62,1,A366
367,223,Aadhya Natarajan,42,2,A367
368,223,Yatan Doctor,63,1,A368
369,224,Pahal Saran,61,1,A369
370,225,Gauri Chand,24,1,A370
371,225,Arya Gaba,31,1,A371
1003,225,Hitesh Tara,40,1,A1003
372,226,Ishwar Sangha,28,1,A372
373,227,Ekaraj Sachar,42,1,A373
374,227,Upasna Char,19,1,A374
375,227,Hemani Mangat,30,1,A375
1009,228,Unni Batta,63,1,A1009
376,228,Aashi Sethi,50,1,A376
377,228,Anvi Kapadia,37,1,A377
1009,229,Unni Batta,48,1,A1009
378,229,Benjamin Gour,57,1,A378
379,229,Bhavani Shan,42,1,A379
380,230,Dalaja Manda,60,1,A380
381,230,Nachiket Loyal,52,1,A381
382,230,Urmi Nair,65,1,A382
383,231,Caleb Mann,21,1,A383
384,232,Viraj Kashyap,55,1,A384
385,232,Jhalak Ravi,34,1,A385
1003,232,Hitesh Tara,53,1,A1003
386,233,Anthony Raju,65,1,A386
1003,233,Hitesh Tara,62,1,A1003
387,234,Parth Hayre,20,1,A387
388,235,Radha Tiwari,35,1,A388
389,236,Charles Natt,43,2,A389
390,236,Harshil De,47,1,A390
1007,236,Max Nadig,31,1,A1007
391,237,Akshay Sarma,30,1,A391
392,238,Oeshi Mohan,23,1,A392
393,239,Neha Dua,54,1,A393
394,239,Oliver Mammen,21,1,A394
395,239,Yashasvi Solanki,30,1,A395
396,240,Kamya Gour,31,1,A396
397,240,Udant Sami,33,1,A397
398,241,Abeer Nori,35,1,A398
1001,241,Farhan Memon,28,1,A1001
399,241,Ayushman Dhingra,24,1,A399
400,242,Wazir Vasa,52,1,A400
401,242,Varenya Mannan,43,1,A401
402,242,Vinaya Ramaswamy,18,1,A402
403,243,Nathaniel Kunda,58,1,A403
404,244,Jacob Chauhan,18,2,A404
405,244,Wriddhish Subramanian,38,1,A405
406,245,Darika Kant,46,1,A406
407,246,Sanaya De,58,1,A407
408,247,Harita Nanda,48,1,A408
409,247,Ubika Banerjee,18,1,A409
410,247,Gauri Chand,18,1,A410
411,248,Hemani Bhavsar,32,2,A411
412,248,Logan Yadav,54,1,A412
413,249,Logan Sarna,35,1,A413
414,249,Chandresh Lala,43,1,A414
415,250,Bhavika Barad,40,1,A415
416,250,Girindra Rastogi,20,1,A416
417,250,Maanav Shetty,51,1,A417
418,251,Barkha Walla,20,1,A418
419,251,Sneha Gour,42,1,A419
420,252,Anika Mutti,33,1,A420
421,252,Chakrika Kale,54,1,A421
422,252,Hamsini Kade,32,2,A422
423,253,Jeevika Lalla,50,1,A423
424,253,Aadi Rao,18,1,A424
425,254,Jhalak Kant,43,1,A425
426,255,Amaira Thaker,39,1,A426
427,256,Jacob Bali,53,1,A427
428,256,Vedant Bir,64,1,A428
429,256,Neel Sankaran,23,1,A429
430,257,Nidhi Ramesh,63,1,A430
431,257,Janani Atwal,56,1,A431
432,258,Forum Rattan,56,1,A432
1001,259,Farhan Memon,18,1,A1001
433,259,Rudra Bal,25,1,A433
434,260,Oeshi Bansal,54,1,A434
435,260,Turvi Barman,29,1,A435
436,261,Wahab Nagy,54,1,A436
437,261,Rachita Krishnan,47,1,A437
438,262,Warinder Sangha,22,1,A438
1003,262,Hitesh Tara,30,2,A1003
1002,262,Victor Dutt,46,1,A1002
439,263,Daksha Varty,46,1,A439
440,264,Advaith Mahajan,20,1,A440
441,264,Yadavi Sant,47,2,A441
442,264,Dominic Korpal,56,1,A442
443,265,Imaran Saha,57,1,A443
444,265,Jatin Varughese,47,1,A444
445,265,Jairaj Vasa,65,1,A445
446,266,Abdul Contractor,31,1,A446
447,266,Nidra Nayar,32,1,A447
448,266,Fiyaz Krishnamurthy,34,1,A448
449,267,Charan Cheema,37,1,A449
450,267,Varsha Mishra,47,1,A450
451,268,Bina Kala,33,1,A451
452,268,Ekapad Shere,54,1,A452
453,268,Chandran Pingle,32,2,A453
1005,269,Darpan Chaudhari,31,1,A1005
454,269,Bakhshi Rau,46,1,A454
455,270,Kashish Tandon,44,1,A455
1004,270,Harrison Mukherjee,43,1,A1004
456,270,Udant Madan,33,1,A456
457,271,Jhalak Misra,49,2,A457
458,271,Advay Sandhu,38,1,A458
459,271,Vyanjana Nagar,62,1,A459
460,272,Warjas Banik,53,1,A460
461,272,Quincy Kaur,56,1,A461
462,273,Barkha Tak,51,1,A462
463,273,Rachana Trivedi,43,1,A463
464,273,Chanchal Yohannan,42,1,A464
465,274,Dayamai Chandran,26,1,A465
466,275,Ekantika Mani,59,1,A466
467,275,Januja Varkey,55,1,A467
468,275,Advaith Rai,31,1,A468
1010,276,Turvi Dalal,50,1,A1010
469,277,Samuel Dhar,52,1,A469
470,277,Yauvani Ramakrishnan,29,1,A470
1010,277,Turvi Dalal,46,1,A1010
471,278,Sanya Parekh,62,1,A471
472,278,Warhi Dewan,31,1,A472
473,278,Raagini Narain,54,1,A473
474,279,Guneet Shanker,59,1,A474
1009,279,Unni Batta,65,2,A1009
475,279,Rohan Apte,54,1,A475
476,280,Balveer Sandhu,22,1,A476
477,280,Chanchal Jain,46,1,A477
478,281,Anamika Shankar,60,1,A478
479,281,Gauri Chahal,61,1,A479
480,281,Sanya Natt,50,1,A480
481,282,Ranveer Choudhury,48,1,A481
482,282,Indira Hayer,60,1,A482
483,282,Samesh Gokhale,60,1,A483
484,283,Jackson Dutt,32,1,A484
485,284,Benjamin Kota,20,1,A485
486,285,Abha Gill,41,1,A486
1001,286,Farhan Memon,26,1,A1001
487,287,Lucky Shah,25,2,A487
488,288,Zayyan Chana,60,1,A488
489,289,Niharika Chada,41,1,A489
490,289,Bhavna Mann,26,1,A490
491,290,Alka Iyengar,44,1,A491
492,290,Theodore Chander,60,1,A492
493,290,Bhavini Verma,19,1,A493
494,291,Nidhi Sarraf,39,1,A494
495,291,Urvi Mannan,47,1,A495
496,291,Joshua Gupta,21,1,A496
497,292,Gavin Kumer,52,1,A497
498,292,Arya Korpal,49,1,A498
499,293,Jatin Dada,31,2,A499
500,293,Rachana Tripathi,46,1,A500
501,294,Champak Kumer,25,2,A501
1004,294,Harrison Mukherjee,43,2,A1004
502,294,Avni Khare,43,1,A502
503,295,Balveer Mangat,20,1,A503
504,295,Reyansh Upadhyay,45,1,A504
505,295,Eshana Keer,29,2,A505
506,296,Vrinda Dada,23,1,A506
507,296,Eta Bumb,59,1,A507
508,296,Isaac Sami,19,1,A508
1008,297,Laksh Tella,48,1,A1008
509,297,Nirja Pingle,39,1,A509
510,298,Akshay Ramaswamy,31,1,A510
511,299,Timothy Malhotra,53,1,A511
512,299,Radhika Karan,18,1,A512
1010,300,Turvi Dalal,30,1,A1010
513,300,Raagini Chacko,64,1,A513
514,301,Finn Warrior,64,1,A514
515,301,Harrison Prashad,57,1,A515
516,302,Lavanya Aggarwal,18,1,A516
517,302,Varenya Lalla,34,1,A517
518,303,Mahika Dass,28,1,A518
1009,304,Unni Batta,55,1,A1009
1002,305,Victor Dutt,35,1,A1002
519,305,Aadhya Sheth,37,1,A519
520,306,Lopa Narain,19,1,A520
521,306,Vyanjana Bose,56,1,A521
522,307,Bahadurjit Sastry,38,1,A522
523,307,Tanmayi Pandya,57,1,A523
524,307,Liam Koshy,49,1,A524
525,308,Nitara Tata,19,1,A525
526,308,Nitara Nigam,42,1,A526
527,309,Wriddhish Mand,30,1,A527
1001,310,Farhan Memon,58,2,A1001
1002,310,Victor Dutt,44,1,A1002
528,311,Kamya Sekhon,55,1,A528
529,311,Nicholas Cheema,65,1,A529
530,311,Chandresh Kalla,52,1,A530
531,312,Ishita Agrawal,46,1,A531
532,313,Lila Chahal,45,1,A532
533,314,Vedhika Kala,36,1,A533
534,314,Anay Dey,34,1,A534
535,315,Vasudha Karan,46,1,A535
536,315,Thomas Patla,30,1,A536
537,315,Urvi Soni,58,2,A537
538,316,Unnati Thaker,62,1,A538
539,317,Zilmil Pingle,34,1,A539
540,317,Ekta Kant,19,1,A540
541,318,Gunbir Tandon,59,1,A541
542,318,Urvashi Bumb,28,1,A542
543,319,Nirja Jayaraman,60,1,A543
544,320,Jalsa Sidhu,41,1,A544
1008,321,Laksh Tella,44,1,A1008
545,322,Nicholas Sibal,50,1,A545
546,323,Edhitha Sastry,30,1,A546
547,324,Turvi Dora,55,1,A547
548,325,Bina Ravi,49,2,A548
1009,325,Unni Batta,30,1,A1009
549,326,Samarth Khare,23,1,A549
550,326,Aryan Sood,48,1,A550
551,326,Samuel Murthy,23,1,A551
552,327,Viraj Jain,58,1,A552
553,328,Bahadurjit Borah,65,1,A553
554,328,Umang Subramanian,25,1,A554
1006,328,Mekhala Nayar,22,1,A1006
555,329,Deepa Mukhopadhyay,27,1,A555
556,330,Falan Munshi,44,1,A556
557,330,Aarnav Setty,43,1,A557
558,331,Varenya Datta,48,1,A558
559,332,Tanay Morar,39,1,A559
1009,333,Unni Batta,29,1,A1009
560,333,Champak Goel,23,1,A560
561,333,Alexander Lalla,38,1,A561
1009,334,Unni Batta,22,1,A1009
562,334,Sanaya Aurora,31,1,A562
563,335,Nidhi Kamdar,48,1,A563
564,336,Wridesh Kadakia,55,1,A564
1002,337,Victor Dutt,53,1,A1002
565,337,Yashawini Agate,65,1,A565
566,338,Zayyan Bhagat,61,1,A566
1010,338,Turvi Dalal,38,2,A1010
567,338,Bakhshi Batra,52,1,A567
568,339,Girindra Mitter,54,1,A568
569,340,Eshana Tella,65,1,A569
570,341,Ryan Kale,54,1,A570
1004,341,Harrison Mukherjee,26,1,A1004
571,342,Amara Dave,56,1,A571
572,342,Qadim Kaul,42,1,A572
573,342,Yauvani Peri,28,1,A573
574,343,Bhavna Rattan,49,1,A574
575,343,Caleb Wadhwa,33,1,A575
576,343,Dakshesh Sagar,24,1,A576
577,344,Pooja Dhingra,23,1,A577
578,344,Kamya Kibe,44,1,A578
579,344,Damini Chakraborty,36,2,A579
580,345,Diya Sekhon,52,2,A580
581,346,Parth Venkatesh,27,1,A581
582,346,Warda Thakur,44,1,A582
583,347,Jason Dass,20,1,A583
1006,347,Mekhala Nayar,23,1,A1006
1005,347,Darpan Chaudhari,57,1,A1005
584,348,Damini Contractor,44,1,A584
585,349,Yashodhara Banik,59,1,A585
586,349,Zayan Khosla,28,1,A586
